start training

| epoch   1 | 61000/163125 batches | lr 0.05 | ms/batches 16.53 | loss  4.61 | ppl   100.68
| epoch   1 | 62000/163125 batches | lr 0.05 | ms/batches 16.65 | loss  4.61 | ppl   100.51
| epoch   1 | 63000/163125 batches | lr 0.05 | ms/batches 16.64 | loss  4.61 | ppl   100.34
| epoch   1 | 64000/163125 batches | lr 0.05 | ms/batches 16.72 | loss  4.61 | ppl   100.18
| epoch   1 | 65000/163125 batches | lr 0.05 | ms/batches 16.14 | loss  4.61 | ppl    99.99
| epoch   1 | 66000/163125 batches | lr 0.05 | ms/batches 17.10 | loss  4.60 | ppl    99.75
| epoch   1 | 67000/163125 batches | lr 0.05 | ms/batches 16.74 | loss  4.60 | ppl    99.60
| epoch   1 | 68000/163125 batches | lr 0.05 | ms/batches 17.74 | loss  4.60 | ppl    99.38
| epoch   1 | 69000/163125 batches | lr 0.05 | ms/batches 15.72 | loss  4.60 | ppl    99.13
| epoch   1 | 70000/163125 batches | lr 0.05 | ms/batches 16.78 | loss  4.60 | ppl    99.00
| epoch   1 | 71000/163125 batches | lr 0.05 | ms/batches 16.31 | loss  4.59 | ppl    98.88
| epoch   1 | 72000/163125 batches | lr 0.05 | ms/batches 16.76 | loss  4.59 | ppl    98.75
| epoch   1 | 73000/163125 batches | lr 0.05 | ms/batches 14.92 | loss  4.59 | ppl    98.51
| epoch   1 | 74000/163125 batches | lr 0.05 | ms/batches 15.58 | loss  4.59 | ppl    98.24
| epoch   1 | 75000/163125 batches | lr 0.05 | ms/batches 16.42 | loss  4.59 | ppl    98.07
| epoch   1 | 76000/163125 batches | lr 0.05 | ms/batches 15.31 | loss  4.58 | ppl    97.99
| epoch   1 | 77000/163125 batches | lr 0.05 | ms/batches 16.42 | loss  4.58 | ppl    97.82
| epoch   1 | 78000/163125 batches | lr 0.05 | ms/batches 16.90 | loss  4.58 | ppl    97.70
| epoch   1 | 79000/163125 batches | lr 0.05 | ms/batches 16.98 | loss  4.58 | ppl    97.48
| epoch   1 | 80000/163125 batches | lr 0.05 | ms/batches 15.98 | loss  4.58 | ppl    97.26
| epoch   1 | 81000/163125 batches | lr 0.05 | ms/batches 17.06 | loss  4.58 | ppl    97.14
| epoch   1 | 82000/163125 batches | lr 0.05 | ms/batches 17.07 | loss  4.58 | ppl    97.03
| epoch   1 | 83000/163125 batches | lr 0.05 | ms/batches 17.25 | loss  4.57 | ppl    96.87
| epoch   1 | 84000/163125 batches | lr 0.05 | ms/batches 16.38 | loss  4.57 | ppl    96.69
| epoch   1 | 85000/163125 batches | lr 0.05 | ms/batches 16.33 | loss  4.57 | ppl    96.50
| epoch   1 | 86000/163125 batches | lr 0.05 | ms/batches 17.04 | loss  4.57 | ppl    96.29
| epoch   1 | 87000/163125 batches | lr 0.05 | ms/batches 14.73 | loss  4.57 | ppl    96.09
| epoch   1 | 88000/163125 batches | lr 0.05 | ms/batches 16.54 | loss  4.56 | ppl    95.98
| epoch   1 | 89000/163125 batches | lr 0.05 | ms/batches 16.87 | loss  4.56 | ppl    95.79
| epoch   1 | 90000/163125 batches | lr 0.05 | ms/batches 17.52 | loss  4.56 | ppl    95.62
| epoch   1 | 91000/163125 batches | lr 0.05 | ms/batches 16.97 | loss  4.56 | ppl    95.45
| epoch   1 | 92000/163125 batches | lr 0.05 | ms/batches 16.78 | loss  4.56 | ppl    95.30
| epoch   1 | 93000/163125 batches | lr 0.05 | ms/batches 17.17 | loss  4.56 | ppl    95.17
| epoch   1 | 94000/163125 batches | lr 0.05 | ms/batches 17.31 | loss  4.55 | ppl    95.03
| epoch   1 | 95000/163125 batches | lr 0.05 | ms/batches 17.61 | loss  4.55 | ppl    94.90
| epoch   1 | 96000/163125 batches | lr 0.05 | ms/batches 17.21 | loss  4.55 | ppl    94.76
| epoch   1 | 97000/163125 batches | lr 0.05 | ms/batches 17.12 | loss  4.55 | ppl    94.61
| epoch   1 | 98000/163125 batches | lr 0.05 | ms/batches 19.55 | loss  4.55 | ppl    94.51
| epoch   1 | 99000/163125 batches | lr 0.05 | ms/batches 16.48 | loss  4.55 | ppl    94.39
| epoch   1 | 100000/163125 batches | lr 0.05 | ms/batches 16.59 | loss  4.55 | ppl    94.28
| epoch   1 | 101000/163125 batches | lr 0.05 | ms/batches 17.27 | loss  4.55 | ppl    94.21
| epoch   1 | 102000/163125 batches | lr 0.05 | ms/batches 17.35 | loss  4.54 | ppl    94.04
